,Unnamed: 0,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
0,251.0,ELEC,Silver Creek Travel Centre - Tesla Supercharger,19700 Klassen Road,,Hope,BC,V0X 1L2,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,24.0,,Tesla,https://www.tesla.com/supercharger,GPS,49.363935,-121.478798,2024-07-01,200542,0.03899,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.06275,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1,145.0,ELEC,Guildford Town Centre - Tesla Supercharger,10355 152 Street,,Surrey,BC,V3R 7C1,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,20.0,,Tesla,https://www.tesla.com/supercharger,200-9,49.192336,-122.806141,2024-07-01,122267,0.66132,2024-08-14 18:58:22 UTC,P,,,2019-03-01,,,,,TESLA,CA,1.06429,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
2,100.0,ELEC,The Amazing Brentwood - Tesla Supercharger,4567  Lougheed Highway,,Burnaby,BC,V5C 3Z6,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,16.0,,Tesla,https://www.tesla.com/supercharger,GPS,49.26789891,-123.0027485,2024-07-01,211934,0.69601,2024-08-14 18:58:22 UTC,P,,,2022-03-17,,,,,TESLA,CA,1.12012,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
3,140.0,ELEC,1090 Lougheed Highway - Tesla Supercharger,1090 Lougheed Highway,,Coquitlam,BC,V3K 5V4,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,16.0,,Tesla,https://www.tesla.com/supercharger,GPS,49.2343,-122.862302,2024-07-01,200543,0.13148,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.2116,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
4,184.0,ELEC,Holiday Inn Express & Suites Langley - Tesla Supercharger,8750 204 St,,Langley,BC,V1M 2Y5,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,16.0,,Tesla,https://www.tesla.com/supercharger,GPS,49.1619948,-122.655641,2024-07-01,258274,0.09341,2024-08-14 18:58:22 UTC,P,,,2023-04-06,,,,,TESLA,CA,0.15033,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,PARKING_LOT,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
5,272.0,ELEC,Best Western Plus Merritt Hotel - Tesla Supercharger,3969 Crawford Ave,,Merritt,BC,V1K 0A4,,877-798-3752,E,,Public,24 hours daily,A D Debit M V,,,,,,16.0,,Tesla,https://www.tesla.com/supercharger,GPS,50.124852,-120.748818,,371847,0.07841,2024-11-22 15:54:43 UTC,P,,,2024-11-18,,,,,TESLA,CA,0.12619,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,$0.61 per kWh,"0,61 $ par kWh",,,,,,,,,False,,,,,,,,LD,False,
6,200.0,ELEC,Highstreet Shopping Centre - Tesla Supercharger,3122 Mount Lehman Rd,,Abbotsford,BC,V4X 2K9,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,49.058774,-122.37941,2024-07-01,157888,0.11584,2024-08-14 18:58:22 UTC,P,,,2020-05-01,,,,,TESLA,CA,0.18643,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
7,244.0,ELEC,Cottonwood Centre - Tesla Supercharger,45585 Luckakuck Way,,Chilliwack,BC,V2R 1A1,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,49.141693,-121.963915,2024-07-01,206679,0.16807,2024-08-14 18:58:22 UTC,P,,,2022-02-15,,,,,TESLA,CA,0.27048,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
8,291.0,ELEC,Columbia Square Shopping Centre - Tesla Supercharger,500  Notre Dame Drive,,Kamloops,BC,V2C 6T6,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,50.66398,-120.35053,2024-07-01,237717,0.14409,2024-08-14 18:58:22 UTC,P,,,2022-11-02,,,,,TESLA,CA,0.23189,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
861,,ELEC,Enoch Park - Tesla Supercharger,1102 Macleod Trail SE,,Calgary,AB,T2G 2M8,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.041789,-114.057458,2024-07-01,352627,0.34395,2024-08-14 18:58:22 UTC,P,,,,,,,,J1772COMBO TESLA,CA,0.55353,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1228,,ELEC,Bearspaw Kananaskis Travel Centre - Tesla Supercharger,100 Nakoda Way,,Kananaskis,AB,T0L 1N0,,877-798-3752,E,,Public,24 hours daily,A D Debit M V,,,,,,12.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.099542,-115.015339,,355557,0.35468,2024-11-08 14:57:26 UTC,P,,,2024-09-06,,,,,TESLA,CA,0.5708,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,$0.67 per kWh,,,,,,,,,,False,,,,,,,,LD,False,
9,305.0,ELEC,Clearwater Shopping Centre - Tesla Supercharger,365 Murtle Crescent,,Clearwater,BC,V0E 1N1,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.6506614,-120.039499,2024-07-01,329486,0.02456,2024-08-14 18:58:22 UTC,P,,,2024-02-16,,,,,TESLA,CA,0.03953,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
10,312.0,ELEC,Valemount Esso - Tesla Supercharger,1506 Swift Creek Rd,,Valemount,BC,V0E 2Z0,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.83166702,-119.2784726,2024-07-01,329487,0.0523,2024-08-14 18:58:22 UTC,P,,,2024-02-16,,,,,TESLA,CA,0.08417,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
11,316.0,ELEC,"Jasper, AB - Tesla Supercharger",218  Connaught Drive,,Jasper,AB,T0E 1E0,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.880669,-118.078275,2024-07-01,236859,0.21583,2024-08-14 18:58:22 UTC,P,,,2022-10-03,,,,,TESLA,CA,0.34734,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
621,,ELEC,Cache Creek Visitor Information Centre - Tesla Supercharger,1270 Stage Road,,Cache Creek,BC,V0K 1H0,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,50.811028,-121.325075,2024-07-01,200533,0.01061,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.01708,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
629,,ELEC,Prosperity Ridge - Tesla Supercharger,1185 Prosperity Way,,Williams Lake,BC,V2G 0A6,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.112878,-122.125087,2024-07-01,200556,0.83563,2024-08-14 18:58:22 UTC,P,,,2021-11-04,,,,,TESLA,CA,1.34482,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
638,,ELEC,"Quesnel, BC - Tesla Supercharger",775 Rita Rd,,Quesnel,BC,V2J 0C2,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.966834,-122.440384,2024-07-01,200527,0.08629,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.13887,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
711,,ELEC,McBride Petro-Canada - Tesla Supercharger,795 Bridge Rd,,McBride,BC,V0J 2E0,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,53.305057,-120.160885,2024-07-01,347601,0.05581,2024-08-14 18:58:22 UTC,P,,,2024-06-05,,,,,TESLA,CA,0.08982,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
757,,ELEC,Southgate Centre - Tesla Supercharger,5015 111 St NW,,Edmonton,AB,T6H 4M6,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,200-9,53.486557,-113.515102,2024-07-01,122320,0.86431,2024-08-14 18:58:22 UTC,P,,,2019-03-01,,,,,TESLA,CA,1.39097,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
784,,ELEC,179 Leva Ave - Tesla Supercharger,179 Leva Avenue,,Red Deer County,AB,T4E 1B9,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.216416,-113.815797,2024-07-01,153427,0.06526,2024-08-14 18:58:22 UTC,P,,,2020-01-31,,,,,TESLA,CA,0.10503,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
798,,ELEC,Crosslron Mills - Tesla Supercharger,261055 Crossiron Blvd,,Rocky View,AB,T4A 0G3,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.204042,-113.989658,2024-07-01,122263,0.53639,2024-08-14 18:58:22 UTC,P,,,2019-03-01,,,,,TESLA,CA,0.86324,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1219,,ELEC,1702 Bow Valley Trail - Tesla Supercharger,1702 Bow Valley Trail,,Canmore,AB,T1W 1N5,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.09656,-115.35776,2024-07-01,200551,0.18153,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.29214,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
12,323.0,ELEC,Boston Pizza - Tesla Supercharger,4523 4 Avenue,,Edson,AB,T7E 1C3,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,6.0,,Tesla,https://www.tesla.com/supercharger,GPS,53.58557,-116.420913,2024-07-01,200528,0.07845,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.12625,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
350,,ELEC,"Save-On-Foods / Fast Gas (Red Deer, AB)",6720 52nd Avenue,,Red Deer,AB,T4N 4K9,,833-231-3226,E,,Public,24 hours daily,,,,,,,6.0,,Electrify Canada,https://www.electrify-canada.ca/,GPS,52.289,-113.81809,2024-12-07,318048,0.87137,2024-12-07 10:09:22 UTC,,,,2023-11-10,,,,,J1772COMBO,CA,1.40233,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
654,,ELEC,River Point Landing - Tesla Supercharger,3036 Recplace Drive,,Prince George,BC,V2N 0G2,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,6.0,,Tesla,https://www.tesla.com/supercharger,GPS,53.890585,-122.767819,2024-07-01,201345,0.76208,2024-08-14 18:58:22 UTC,P,,,2021-11-18,,,,,TESLA,CA,1.22645,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
